sr,isin,is_equity,nse_symbol,bse_code,bse_ticker,company_name,listed_on,segment,nse_series,bse_group,bse_status
1,INE609B01018,Y,,511122,1STCUS,First Custodian Fund (India) Ltd.,BSE only,BSE Equity,,X,Active
2,INE144J01027,Y,20MICRONS,533022,20MICRONS,20 Microns Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
3,INE253B01015,Y,21STCENMGM,526921,21STCENMGM,21st Century Management Services Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4,INE466L01038,Y,360ONE,542772,360ONE,360 ONE WAM LIMITED,NSE+BSE,NSE Mainboard,EQ,A,Active
5,INE994E01018,Y,3BBLACKBIO,532067,3BBLACKBIO,3B Blackbio Dx Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
6,INE0TE101010,Y,,544412,3BFILMS,3B FILMS LIMITED,BSE only,BSE Equity,,M,Active
7,INE0R7D01018,Y,,544190,3CIT,3C IT Solutions and Telecoms (India) Limited,BSE only,BSE Equity,,M,Active
8,INE748C01038,Y,3IINFOLTD,532628,3IINFOLTD,3i Infotech Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
9,INE470A01017,Y,3MINDIA,523395,3MINDIA,3M India Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
10,INE105C01023,Y,3PLAND,516092,3PLAND,3P Land Holdings Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
11,INE618L01018,Y,5PAISA,540776,5PAISA,5Paisa Capital Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
12,INE111B01023,Y,63MOONS,526881,63MOONS,63 moons technologies limited,NSE+BSE,NSE Mainboard,EQ,A,Active
13,INE413X01035,Y,,540615,7NR,7NR Retail Limited,BSE only,BSE Equity,,XT,Active
14,INE454F01010,Y,,540874,7SEASL,7SEAS ENTERTAINMENT LIMITED,BSE only,BSE Equity,,X,Active
15,INE856B01023,Y,,532404,7TEC,Saven Technologies Ltd.,BSE only,BSE Equity,,X,Active
16,INE911Z01025,Y,,542012,A1L,A-1 LIMITED,BSE only,BSE Equity,,B,Active
17,INE619I01012,Y,A2ZINFRA,533292,A2ZINFRA,A2Z Infra Engineering Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
